# myabc 笔形辅助码数据表（字 -> 笔形码，横1 竖2 撇3 捺4 折5，取前两笔）
#
# 数据来源与 License：
#   本表的笔画顺序原始数据取自 cnchar-order（https://github.com/theajack/cnchar，
#   npm 包 cnchar-order@3.2.6，MIT License，Copyright (c) theajack）。
#   转换方法（详见 docs/decisions/_debt-log.md 2026-09-12）：
#   1. 从 cnchar-order 的 char_stroke_codes 表取每个字的完整笔画顺序（26 个字母
#      分别对应 25 种具体笔画，字母含义已从源码 stroke-table 精确核实，非猜测）。
#   2. 取每个字的前两笔（单笔字只有一笔），按下表归并成智能ABC/郑码惯用的
#      五笔形分类：
#        横(j)、提(i)             -> 1（提归入横，五笔形分类惯例）
#        竖(f)                    -> 2
#        撇(s)                    -> 3
#        点(k)、点2(d)、捺(l)     -> 4（点归入捺）
#        其余（横折/竖折/横钩/竖钩/横撇/竖提/撇折/弯钩/竖弯钩等一切带转折的
#        笔画，源数据里统一标注 type=折笔）-> 5
#   覆盖 cnchar-order 原始数据的全部 6939 个单字条目。
#
# 格式：每行 "<字><TAB><笔形码>"，'#' 开头整行是注释，空行跳过。BihuoTable 对
# 未收录的字一律放行（fail-open，不参与筛选），所以覆盖不到的字不会被误伤。

刹	34
刺	12
刻	41
刽	34
刿	25
剀	25
剁	35
剂	41
剃	43
削	24
剌	12
前	43
剎	34
剐	25
剑	34
剔	25
剖	41
剜	44
剞	13
剡	43
剥	51
剧	51
剩	31
剪	43
副	12
割	44
剽	12
剿	55
劁	32
劂	13
劈	51
劐	12
劓	32
力	53
劝	54
办	53
功	12
加	53
务	35
劢	15
劣	23
动	11
助	25
努	53
劫	12
劬	35
劭	53
励	13
劲	54
劳	12
劵	43
劼	12
劾	41
势	15
勃	12
勇	54
勉	35
勋	25
勐	55
勒	12
勖	25
勘	12
募	12
勠	54
勤	12
勰	53
勹	35
勺	35
勾	35
勿	35
匀	35
包	35
匆	35
匈	35
匍	35
匏	13
匐	35
匕	35
化	32
北	21
匙	25
匝	12
匠	13
匡	11
匣	12
匦	11
匪	12
匮	12
匹	13
区	13
医	13
匾	14
匿	11
十	12
千	31
卅	13
升	31
午	31
卉	12
半	43
华	32
协	12
卑	32
卒	41
卓	21
单	43
卖	12
南	12
博	12
卜	24
卞	41
卟	25
占	21
卡	21
卢	21
卣	21
卤	21
卦	12
卧	12
卫	52
卮	33
卯	35
印	35
危	35
即	51
却	12
卵	35
卷	43
卸	31
卺	55
卿	35
厂	13
厄	13
厅	13
历	13
厉	13
压	13
厌	13
厍	13
厕	13
厘	13
厚	13
厝	13
原	13
厢	13
厣	13
厥	13
厦	13
厨	13
厩	13
厮	13
厶	54
去	12
县	25
叁	54
参	54
又	54
叉	54
及	35
友	13
双	54
反	33
发	53
叒	54
叔	21
叕	54
取	12
受	34
变	41
叙	34
叛	43
叟	32
叠	54
叡	21
口	25
古	12
句	35
另	25
叨	25
叩	25
只	25
叫	25
召	53
叭	25
叮	25
可	12
台	54
叱	25
史	25
右	13
叵	12
叶	25
号	25
司	51
叹	25
叻	25
叼	25
叽	25
吁	25
吃	25
各	35
吆	25
合	34
吉	12
吊	25
吋	25
同	25
名	35
后	33
吏	12
吐	25
向	32
吒	25
吓	25
吕	25
吖	25
吗	25
君	51
吝	41
吞	11
吟	25
吠	25
吡	25
吣	25
否	13
吧	25
吨	25
吩	25
含	34
听	25
吭	25
吮	25
启	45
吱	25
吲	25
吴	25
吵	25
吸	25
吹	25
吻	25
吼	25
吾	12
呀	25
呃	25
呆	25
呈	25
告	31
呋	25
呎	25
呐	25
呒	25
呓	25
呔	25
呕	25
呖	25
呗	25
员	25
呙	25
呛	25
呜	25
呢	25
呤	25
呦	25
周	35
呱	25
呲	25
味	25
呵	25
呶	25
呷	25
呸	25
呻	25
呼	25
命	34
咀	25
咂	25
咄	25
咆	25
咋	25
和	31
咎	35
咏	25
咐	25
咒	25
咔	25
咕	25
咖	25
咘	25
咙	25
咚	25
咛	25
咝	25
咣	25
咤	25
咦	25
咧	25
咨	41
咩	25
咪	25
咫	51
咬	25
咭	25
咯	25
咱	25
咲	25
咳	25
咴	25
咸	13
咻	25
咽	25
咿	25
哀	41
品	25
哂	25
哄	25
哆	25
哇	25
哈	25
哉	12
哌	25
响	25
哎	25
哏	25
哐	25
哑	25
哒	25
哓	25
哔	25
哕	25
哗	25
哙	25
哚	25
哜	25
哝	25
哞	25
哟	25
哥	12
哦	25
哧	25
哨	25
哩	25
哪	25
哭	25
哮	25
哲	15
哳	25
哺	25
哼	25
哽	25
哿	53
唁	25
唆	25
唇	13
唉	25
唏	25
唐	41
唑	25
唔	25
唛	25
唠	25
唢	25
唣	25
唤	25
唧	25
唪	25
唬	25
售	32
唯	25
唰	25
唱	25
唳	25
唷	25
唼	25
唾	25
唿	25
啁	25
啃	25
啄	25
商	41
啉	25
啊	25
啐	25
啕	25
啖	25
啜	25
啟	45
啡	25
啤	25
啥	25
啦	25
啧	25
啪	25
啬	12
啭	25
啮	25
啰	25
啲	25
啵	25
啶	25
啷	25
啸	25
啻	41
啼	25
啾	25
喀	25
喁	25
喂	25
喃	25
善	43
喆	12
喇	25
喈	25
喉	25
喊	25
喋	25
喏	25
喑	25
喔	25
喘	25
喙	25
喜	12
喝	25
喟	25
喧	25
喱	25
喳	25
喵	25
喷	25
喹	25
喻	25
喽	25
喾	44
嗄	25
嗅	25
嗉	25
嗌	25
嗍	25
嗑	25
嗒	25
嗓	25
嗔	25
嗖	25
嗜	25
嗝	25
嗞	25
嗟	25
嗡	25
嗣	25
嗤	25
嗥	25
嗦	25
嗨	25
嗪	25
嗫	25
嗬	25
嗯	25
嗲	25
嗳	25
嗵	25
嗷	25
嗽	25
嗾	25
嘀	25
嘁	25
嘈	25
嘉	12
嘌	25
嘎	25
嘏	12
嘘	25
嘚	25
嘛	25
嘞	25
嘟	25
嘣	25
嘤	25
嘧	25
嘬	25
嘭	25
嘱	25
嘲	25
嘴	25
嘶	25
嘹	25
嘻	25
嘿	25
噁	25
噌	25
噍	25
噎	25
噔	25
噗	25
噘	25
噙	25
噜	25
噢	25
噤	25
器	25
噩	12
噪	25
噫	25
噬	25
噱	25
噶	25
噻	25
噼	25
嚅	25
嚆	25
嚎	25
嚏	25
嚓	25
嚣	25
嚯	25
嚷	25
嚼	25
囊	12
囍	12
囔	25
囗	25
囚	25
四	25
囝	25
回	25
囟	32
因	25
囡	25
团	25
囤	25
囧	25
囫	25
园	25
囯	25
困	25
囱	32
围	25
囵	25
囹	25
固	25
国	25
图	25
囿	25
圃	25
圄	25
圆	25
圈	25
圉	25
圊	25
圏	25
圜	25
土	12
圣	54
在	13
圩	12
圪	12
圬	12
圭	12
圮	12
圯	12
地	12
圳	12
圹	12
场	12
圻	12
圾	12
址	12
坂	12
均	12
坊	12
坌	34
坍	12
坎	12
坏	12
坐	34
坑	12
块	12
坚	22
坛	12
坜	12
坝	12
坞	12
坟	12
坠	52
坡	12
坤	12
坦	12
坨	12
坩	12
坪	12
坫	12
坭	12
坯	12
坳	12
坶	12
坷	12
坻	12
坼	12
垂	31
垃	12
垄	13
垅	12
垆	12
型	11
垌	12
垒	54
垓	12
垕	33
垚	12
垛	12
垟	12
垠	12
垡	32
垢	12
垣	12
垤	12
垦	51
垧	12
垩	12
垫	15
垭	12
垮	12
垲	12
垴	12
垵	12
垸	12
埂	12
埃	12
埇	12
埈	12
埋	12
城	12
埏	12
埒	12
埔	12
埕	12
埗	12
埘	12
埙	12
埚	12
埝	12
域	12
埠	12
埤	12
埭	12
埯	12
埴	12
埸	12
培	12
基	12
埼	12
埽	12
堀	12
堂	24
堃	41
堆	12
堇	12
堉	12
堋	12
堌	12
堍	12
